label,linewidth,density,lineheight
0KDBOLIDDA,0.10307,0.39015,0.45227
0KDBOLIDDA,0.099624,0.47599,0.65625
0KDBOLIDDA,0.10526,0.47896,0.54836
0KDBOLIDDA,0.10338,0.51248,0.51212
0KDBOLIDDA,0.098684,0.5218,0.46921
0KDBOLIDDA,0.10646,0.5513,0.58665
0KDBOLIDDA,0.10197,0.47066,0.53091
0KDBOLIDDA,0.10121,0.51104,0.52083
0KDBOLIDDA,0.10197,0.47066,0.53091
0KDBOLIDDA,0.10407,0.47554,0.6526
0KDBOLIDDA,0.10088,0.52498,0.49832
0KDBOLIDDA,0.096681,0.46452,0.68485
0KDBOLIDDA,0.10065,0.47277,0.50974
0KDBOLIDDA,0.098701,0.52236,0.61189
0KDBOLIDDA,0.098701,0.48701,0.5767
0KDBOLIDDA,0.1013,0.47711,0.55769
0KDBOLIDDA,0.096903,0.60597,0.63287
0KDBOLIDDA,0.096681,0.53235,0.47443
0KDBOLIDDA,0.096377,0.53423,0.49076
0KDBOLIDDA,0.10173,0.49659,0.55682
0KDBOLIDDA,0.11905,0.4541,0.40909
0KDBOLIDDA,0.1039,0.48011,0.51364
0KDBOLIDDA,0.090909,0.4356,0.50825
0KDBOLIDDA,0.097523,0.50634,0.48513
0KDBOLIDDA,0.10646,0.54071,0.4221
0KDBOLIDDA,0.11404,0.49383,0.46087
0KDBOLIDDA,0.10746,0.45345,0.48631
0KDBOLIDDA,0.13158,0.42076,0.32609
0KDBOLIDDA,0.10885,0.50913,0.41634
0KDBOLIDDA,0.12632,0.44666,0.36582
0KDBOLIDDA,0.10691,0.53281,0.45516
0KDBOLIDDA,0.10691,0.53594,0.49744
0KDBOLIDDA,0.093045,0.53649,0.5
0KDBOLIDDA,0.1039,0.4917,0.57386
0KDBOLIDDA,0.096377,0.52994,0.49076
0KDBOLIDDA,0.11008,0.5,0.4686
0KDBOLIDDA,0.1013,0.48374,0.43182
0KDBOLIDDA,0.1039,0.50092,0.58225
0KDBOLIDDA,0.097403,0.42903,0.63636
0KDBOLIDDA,0.1013,0.46737,0.70455
0KDBOLIDDA,0.098701,0.51696,0.57478
0KDBOLIDDA,0.10328,0.5651,0.51515
0KDBOLIDDA,0.096903,0.5993,0.59903
0KDBOLIDDA,0.096681,0.51834,0.47443
0KDBOLIDDA,0.094298,0.51151,0.48387
0KDBOLIDDA,0.11244,0.5434,0.52754
0KDBOLIDDA,0.10277,0.5194,0.49217
0KDBOLIDDA,0.11184,0.50521,0.48234
0KDBOLIDDA,0.10088,0.49264,0.48861
0KDBOLIDDA,0.096491,0.52073,0.53623
0KDBOLIDDA,0.11974,0.56698,0.37681
0KDBOLIDDA,0.11184,0.33333,0.38647
0KDBOLIDDA,0.11124,0.52564,0.48384
0KDBOLIDDA,0.099624,0.4429,0.53177
0KDBOLIDDA,0.12923,0.43922,0.60328
0KDBOLIDDA,0.12,0.519,0.52288
0KDBOLIDDA,0.13491,0.53981,0.73745
0KDBOLIDDA,0.11316,0.53558,0.45122
0KDBOLIDDA,0.097744,0.54203,0.52727
0KDBOLIDDA,0.10526,0.48746,0.57386
0KDBOLIDDA,0.10132,0.4529,0.55273
0KDBOLIDDA,0.10088,0.42691,0.44596
0KDBOLIDDA,0.10885,0.42964,0.5
0KDBOLIDDA,0.10646,0.52316,0.47967
0KDBOLIDDA,0.098086,0.57625,0.60455
0KDBOLIDDA,0.10526,0.37284,0.49465
0KDBOLIDDA,0.10526,0.4467,0.55329
0KDBOLIDDA,0.097368,0.54304,0.48539
0KDBOLIDDA,0.10217,0.57835,0.44314
0KDBOLIDDA,0.10777,0.50988,0.45797
0KDBOLIDDA,0.099624,0.5038,0.53177
0KDBOLIDDA,0.097368,0.5071,0.43276
0KDBOLIDDA,0.12022,0.55612,0.48036
0KDBOLIDDA,0.11579,0.5271,0.58012
0KDBOLIDDA,0.10773,0.59283,0.47164
0KDBOLIDDA,0.12171,0.55114,0.60855
0KDBOLIDDA,0.10526,0.56375,0.50488
0KDBOLIDDA,0.098485,0.54439,0.55455
0KDBOLIDDA,0.1039,0.52695,0.62727
0KDBOLIDDA,0.11558,0.54823,0.51793
0KDBOLIDDA,0.1029,0.51515,0.44652
0KDBOLIDDA,0.099567,0.43667,0.60606
0KDBOLIDDA,0.10065,0.49451,0.52652
0KDBOLIDDA,0.10185,0.44812,0.53063
0KDBOLIDDA,0.099567,0.55198,0.53688
0KDBOLIDDA,0.11039,0.55729,0.90761
0KDBOLIDDA,0.10227,0.48498,0.59416
0KDBOLIDDA,0.10599,0.47764,0.45085
0KDBOLIDDA,0.10526,0.55574,0.51359
0KDBOLIDDA,0.089474,0.50918,0.44522
0KDBOLIDDA,0.097368,0.40737,0.63587
0KDBOLIDDA,0.099415,0.47965,0.48098
0KDBOLIDDA,0.10439,0.49631,0.49657
0KDBOLIDDA,0.088816,0.50349,0.61739
0KDBOLIDDA,0.11447,0.48084,0.51473
0KDBOLIDDA,0.11041,0.49811,0.42995
0KDBOLIDDA,0.099624,0.46866,0.53177
0KDBOLIDDA,0.099781,0.5503,0.52464
0KDBOLIDDA,0.11184,0.56102,0.51846
0KDBOLIDDA,0.10921,0.49023,0.51052
0KDBOLIDDA,0.11579,0.51971,0.47004
0KDBOLIDDA,0.10088,0.52795,0.46273
0KDBOLIDDA,0.11513,0.51361,0.49689
0KDBOLIDDA,0.099624,0.4429,0.53177
0KDBOLIDDA,0.096711,0.49353,0.49399
0KDBOLIDDA,0.095694,0.47416,0.49833
0KDBOLIDDA,0.10307,0.51275,0.48004
0KDBOLIDDA,0.10526,0.57508,0.4334
0KDBOLIDDA,0.11124,0.55121,0.5697
0KDBOLIDDA,0.10789,0.42749,0.44108
0KDBOLIDDA,0.097039,0.50739,0.80579
0KDBOLIDDA,0.097368,0.52448,0.45707
0KDBOLIDDA,0.098684,0.54951,0.50758
0KDBOLIDDA,0.11184,0.27959,0.33117
0KDBOLIDDA,0.10167,0.52545,0.54909
0KDBOLIDDA,0.11316,0.52498,0.45122
0KDBOLIDDA,0.09697,0.53195,0.53598
0KDBOLIDDA,0.1009,0.5128,0.47475
0KDBOLIDDA,0.10552,0.44468,0.47727
